Datasets\gh-websocket-m.data;2 or 3 levels;High weight variance;Low insertions and deletions;Low weight change
Datasets\gh-xxl-job-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubAnimate;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GithubAudioKit;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubBdb;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubBeets;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubBrackets;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubCaffe;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubCalcuta;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubEarthdata-search;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubEmcee;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubFsharp;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubHospitalrun-frontend;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubHystrix;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubIina;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubLeaflet;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubOptiKey;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubOsquery;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubPhysicsJS;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubPybuilder;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubScikitlearn;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubShellcheck;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubSoundnode-app;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\GitHubSpacemacs;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubStandard;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\GitHubUws;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\Movies15M1D;Single level;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\Movies3Y3M;Single level;High weight variance;Regular insertions and deletions;Spiky weight change
Datasets\MoviesC4Y90H;Single level;Low weight variance;Low insertions and deletions;Low weight change
Datasets\MoviesH22Y7M;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\MoviesHC10Y2M;Single level;High weight variance;Low insertions and deletions;Low weight change
Datasets\MoviesHC9Y1W;4+ levels;High weight variance;Low insertions and deletions;Low weight change
Datasets\MoviesHC9Y7M;4+ levels;Low weight variance;Low insertions and deletions;Low weight change
Datasets\tmbd-monthly-count-genres-2krand.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-4plusgenres.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-action.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-children.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-genres-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-00stonow.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-2krand.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-4plusgenres.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-action.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-children.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-documentaries.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-count-release-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-mean-genres-00stonow.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-2krand.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-4plusgenres.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-action.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-children.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-00stonow.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-2krand.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-4plusgenres.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-action.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-children.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-mean-release-documentaries.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-monthly-std-genres-00stonow.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-2krand.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-4plusgenres.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-action.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-children.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-00stonow.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-2krand.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-4plusgenres.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-action.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-children.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-monthly-std-release-documentaries.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-00stonow.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-2krand.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-4plusgenres.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-action.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-children.data;4+ levels;High weight variance;Regular insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-genres-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-2krand.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-children.data;2 or 3 levels;High weight variance;Regular insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-documentaries.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-count-release-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-mean-genres-00stonow.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-2krand.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-4plusgenres.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-action.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-children.data;4+ levels;Low weight variance;Regular insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-genres-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-mean-release-00stonow.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-2krand.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-4plusgenres.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-action.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-children.data;2 or 3 levels;Low weight variance;Regular insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-documentaries.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-mean-release-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-genres-00stonow.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-genres-2krand.data;4+ levels;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-genres-4plusgenres.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-genres-60sto80s.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-genres-90s.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-genres-action.data;4+ levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-genres-children.data;4+ levels;Low weight variance;Regular insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-genres-documentaries.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-genres-nogenre.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-release-00stonow.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-release-2krand.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-release-4plusgenres.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-release-60sto80s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\tmbd-yearly-std-release-90s.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-release-action.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Regular weight change
Datasets\tmbd-yearly-std-release-children.data;2 or 3 levels;Low weight variance;Regular insertions and deletions;Regular weight change
